gram,counts
covid,1462173
19,1193041
covid 19,1167661
covid19,761737
coronavirus,352263
cases,140735
amp,134648
pandemic,134077
new,132083
people,131681
2022,112076
vaccine,111972
omicron,102614
us,101836
get,93773
health,89087
casos,84110
deaths,82894
di,72125
virus,70339
news,63686
via,63152
china,62881
years,60633
die,58494
like,55045
data,54700
march,54499
world,54093
one,53096
vaccines,52999
detrick,52554
well,51888
fort,51643
time,50770
19 pandemic,50749
covid 19 pandemic,50677
fort detrick,50534
03,50268
still,49988
24,49700
positive,49112
covid19 covid,49068
et,47676
vaccination,47615
ukraine,47260
report,46825
19 vaccine,46290
covid 19 vaccine,46160
two,43552
test,43366
day,43273
today,43164
da,43127
pandemia,42982
first,42309
truth,42112
many,41653
tests,41211
know,41141
would,41140
10,41139
dan,40601
soon,40482
need,40227
latest,40127
2020,40059
il,39949
19 covid,39471
000,39268
covid 19 covid,39184
government,38961
nuevos,38613
des,38336
covid omicron,38143
pfizer,38115
covid19 covid 19,38057
vaccinated,37446
per,37286
booster,37249
mask,36980
since,36925
19 cases,35939
covid 19 cases,35858
und,35364
12,34947
est,34920
death,34493
corona,34278
last,34118
the,34110
du,33663
11,33382
come,33249
even,32995
public,32709
daily,32659
year,32388
could,31650
salud,31368
