gram,counts
covid,2563199
covid 19,2208424
19,2157737
covid19,1501018
coronavirus,831487
omicron,540586
cases,375885
new,358576
vaccine,333098
people,301104
amp,283660
get,234162
health,209411
variant,200913
pandemic,197396
2021,183476
us,161281
via,157077
virus,154026
vaccinated,152637
news,145159
deaths,144598
one,144510
vaccination,143225
casos,141440
vaccines,141163
et,140732
test,139813
12,137838
positive,132423
like,130436
die,129198
des,125604
est,125229
booster,120080
year,119587
19 vaccine,115098
covid 19 vaccine,114681
di,113790
19 cases,113699
covid 19 cases,113370
time,112506
000,110187
il,107481
day,106786
omicron variant,101416
pfizer,99428
10,98605
tests,97197
first,95373
data,94240
da,93070
world,93058
du,91481
need,90928
still,90761
know,89125
would,88433
today,88196
pour,87437
due,85477
testing,85473
many,84431
pas,83581
the,83052
si,79658
says,78521
24,77685
per,77588
last,77572
said,76847
na,75260
well,74843
government,74661
go,73896
even,73065
please,72703
days,71953
11,71878
could,71444
biden,71352
2020,71253
corona,71240
uk,70880
case,70075
christmas,69501
state,69261
see,69230
also,68811
death,68752
going,68437
good,68308
dose,68276
variante,68262
public,68128
take,68125
spread,68059
non,66172
two,66142
der,65621
