gram,counts
coronavirus,6570313
covid,6054496
19,5700605
covid 19,5569564
covid19,4867611
cases,1313787
people,1128436
new,1083858
amp,1080119
pandemic,864729
trump,748910
us,721028
via,667078
casos,572799
virus,572364
news,554522
deaths,535955
health,535941
like,534747
one,520736
get,517088
2020,483080
000,474431
realdonaldtrump,430782
time,424121
world,400875
da,374985
positive,374164
day,368677
si,356960
help,355960
lockdown,353748
still,352398
would,351785
know,348125
need,345255
crisis,344318
china,341824
today,334196
due,331985
please,326620
di,325280
go,320305
see,318083
many,317943
going,315132
testing,314526
total,310890
could,310798
pandemia,309740
test,307467
back,304489
may,301409
government,300930
state,299793
death,297805
mask,293784
says,290981
home,280725
june,280407
na,279233
10,276736
masks,275925
even,275463
good,271072
spread,270773
corona,270206
work,267482
take,266870
first,265274
read,264159
india,261303
social,260712
re,259463
country,258685
coronavirus cases,251032
care,250367
uk,249390
patients,247097
also,243103
19 cases,242896
covid 19 cases,241955
think,239645
make,236807
well,234306
right,234099
public,232649
said,232296
em,231905
live,231694
die,226848
et,225717
support,222873
states,222551
the,219930
number,219751
say,215981
24,215812
want,214750
coronavirus pandemic,208643
