gram,counts
covid,711181
19,609608
covid 19,596112
covid19,360265
coronavirus,161426
vaccine,79018
amp,67337
pandemic,63241
people,62278
new,61590
cases,58206
2022,51207
health,48980
get,45302
di,41219
casos,37236
virus,37024
us,35887
deaths,35822
vaccines,34899
news,30102
dan,28449
19 pandemic,28390
covid 19 pandemic,28347
19 vaccine,28300
covid 19 vaccine,28208
via,27905
one,27608
biden,27396
like,27273
die,27045
vaccination,26679
positive,26574
pfizer,26025
et,25112
booster,24883
cdc,24360
still,24276
time,24205
years,24152
china,23808
24,23727
first,23568
omicron,22893
da,22616
000,22314
2020,21850
test,20907
il,20839
world,20547
10,20266
des,20084
tests,19926
data,19766
vaksinasi,19325
trump,19278
know,19224
government,19065
august,18575
many,18490
would,18467
public,18445
well,18060
dr,18028
est,18005
year,17838
12,17755
need,17368
nuevos,17320
salud,17305
children,17291
untuk,17125
last,17121
day,17115
per,16933
without,16862
long,16752
vaccinated,16613
risk,16479
pandemia,16314
08,16268
since,16182
india,16064
study,16026
work,15969
today,15950
du,15900
said,15856
could,15822
11,15624
also,15614
home,15499
und,15459
even,15399
monkeypox,15357
19 cases,15343
covid 19 cases,15300
yang,15221
na,15125
report,15096
