gram,counts
covid,1046451
19,830067
covid 19,810887
covid19,511302
coronavirus,216775
vaccine,120142
cases,90145
amp,81981
new,78562
people,78171
us,73129
pandemic,72040
health,71795
omicron,71086
2022,68754
get,66370
news,65825
vaccines,61985
casos,53374
virus,48958
deaths,48154
di,47130
19 vaccine,45958
covid 19 vaccine,45845
detrick,43924
fort,42897
fort detrick,41890
data,39577
children,38143
covid19 covid,37537
vaccination,37397
via,37053
report,36501
years,34903
et,34797
time,34306
truth,34050
die,32851
like,32612
one,32236
positive,32162
covid omicron,31372
24,30815
da,30508
06,30413
19 covid,30355
june,30281
covid 19 covid,30149
19 pandemic,29808
pfizer,29772
covid 19 pandemic,29756
covid19 covid 19,29038
still,28985
des,28821
world,28781
19 vaccines,28547
covid 19 vaccines,28458
well,27892
would,27651
without,27303
test,27234
000,27025
day,27003
latest,26730
il,26472
say,26418
est,26305
know,26192
dr,25760
analytics,25280
first,25136
many,25128
come,25021
10,24977
need,24975
india,24878
per,24186
2020,24002
china,23665
11,23587
government,23566
19 covid omicron,22922
19 cases,22592
covid 19 cases,22547
long,22290
du,22246
dan,22241
risk,21930
last,21890
salud,21804
pandemia,21195
12,21165
could,20932
study,20813
death,20811
today,20764
cdc,20751
may,20721
even,20712
also,20644
