gram,counts
covid,1042032
19,833152
covid 19,813698
covid19,522982
coronavirus,204603
vaccine,92049
cases,86842
new,85903
amp,84272
people,84056
get,80046
us,73200
pandemic,72759
omicron,72539
2022,67200
health,62097
casos,53343
virus,51723
vaccines,48487
detrick,48194
deaths,47855
biden,47569
fort,47171
fort detrick,45953
di,44296
covid19 covid,44039
news,41937
truth,41853
positive,41435
via,40084
report,39832
et,38080
time,37250
like,36940
well,35774
data,35176
covid19 covid 19,34606
one,34500
ba,34170
19 vaccine,33103
19 covid,33051
covid 19 vaccine,33005
die,32990
covid 19 covid,32928
covid omicron,32155
vaccination,32145
des,32024
booster,31986
19 pandemic,31927
covid 19 pandemic,31868
years,31728
know,31669
world,30867
still,30809
est,29898
24,29708
il,29616
would,29536
july,29257
2020,28791
000,27996
da,27901
07,27267
come,27172
many,26478
government,25997
india,25601
soon,25601
china,25483
death,25092
per,24975
day,24771
19 covid omicron,24605
need,24557
latest,24335
mask,24211
19 cases,24207
10,24205
covid 19 cases,24146
tests,24103
test,24022
salud,23895
first,23649
vaccinated,23466
du,23198
dan,22818
public,21985
work,21771
say,21743
nuevos,21703
president,21627
could,21591
since,21492
last,21361
long,21331
11,21161
pandemia,20988
positive covid,20896
re,20816
even,20764
