gram,counts
covid,3602941
19,3139739
covid 19,3062558
covid19,1942771
coronavirus,958651
vaccine,686377
people,485215
cases,450399
2021,436110
amp,432223
whatshappeninginmyanmar,395026
new,392772
get,369536
vaccinated,302149
08,295978
pandemic,249003
health,243205
vaccines,239461
08 2021,236148
vaccination,233036
us,229090
via,217401
delta,216497
virus,210684
19 vaccine,210590
covid 19 vaccine,210235
one,194803
deaths,192628
capacity,189616
di,181739
18,176783
like,174173
news,172359
casos,165569
day,147372
need,146787
19 cases,138199
covid 19 cases,137762
state,137624
variant,136105
000,133207
children,132967
time,132862
dan,132173
available,130129
mask,129505
et,129459
help,128553
die,127490
still,125728
pfizer,125375
florida,124690
age,123739
know,122150
today,121726
hospital,120959
school,118498
death,118147
many,117776
10,117196
would,116429
12,115850
also,115663
data,114392
des,113242
patients,112718
year,111885
da,111268
24,111077
please,111009
test,110969
positive,110104
first,109181
na,106717
est,106286
last,104202
says,103584
said,102856
due,102713
world,102598
even,100838
the,100606
cowin,100177
take,99978
india,97691
masks,97668
could,96332
good,96252
go,95897
code,95768
see,95284
il,94973
min,94899
20,94864
yang,94303
limit,93541
dose,93460
government,93351
dates,92478
care,92387
