gram,counts
covid,1097332
19,881359
covid 19,858649
covid19,561906
coronavirus,267369
amp,106301
cases,102420
pandemic,95560
people,94156
vaccine,94100
health,92148
new,90317
omicron,81883
us,79599
2022,76523
news,75142
deaths,65948
virus,58247
may,58240
get,56204
casos,52908
detrick,50011
fort,48632
di,48010
fort detrick,47723
covid19 covid,45142
china,44450
via,44251
report,43059
vaccines,42685
one,41493
data,41267
like,40584
truth,38701
years,38195
world,38037
19 pandemic,37166
covid 19 pandemic,37114
19 covid,36948
covid omicron,36917
covid 19 covid,36706
19 vaccine,36195
covid 19 vaccine,36073
covid19 covid 19,35495
time,34823
vaccination,34795
still,33756
et,32804
million,32608
000,32594
05,32579
day,31628
die,30998
would,30943
first,30928
2020,30787
latest,30274
many,29698
know,29232
da,29084
pfizer,28900
come,28894
positive,28588
24,27969
il,27931
19 covid omicron,27745
need,27662
pandemia,27635
12,27595
des,26973
per,26769
10,26679
india,26204
due,26030
dr,26022
government,25974
children,25669
19 cases,25619
could,25598
covid 19 cases,25565
death,25496
dan,25145
say,24785
test,24556
even,24455
vaccinated,24446
today,24416
long,24200
the,23779
risk,23742
11,23656
est,23641
two,23508
du,23501
last,23349
analytics,23338
said,23059
public,23039
since,22921
yang,22801
