gram,counts
covid,1215334
19,982170
covid 19,956853
covid19,630540
coronavirus,272698
cases,122365
people,108766
amp,108725
new,102849
pandemic,100335
vaccine,92208
2022,91219
omicron,84585
us,82876
health,78109
get,68560
deaths,62923
china,61139
virus,58217
casos,55694
di,52428
via,52319
detrick,50668
news,50385
fort,49444
fort detrick,48699
april,48092
data,45946
like,45376
one,43604
vaccines,42824
covid19 covid,42779
report,42297
04,41724
world,40127
positive,39885
die,39754
shanghai,39300
still,39178
time,39099
vaccination,38822
years,38058
mask,37382
19 pandemic,37066
test,37034
covid 19 pandemic,37004
truth,36897
19 vaccine,36784
covid 19 vaccine,36681
booster,36251
dan,36227
day,36015
covid omicron,36000
know,35560
et,35544
latest,35136
24,35012
19 covid,34740
vaksinasi,34578
would,34524
covid 19 covid,34480
19 cases,33774
da,33727
covid 19 cases,33695
covid19 covid 19,33267
many,33128
first,32789
10,32587
000,32498
il,32210
well,32120
per,31469
need,31267
2020,31009
government,30956
public,30894
vaccinated,30843
pandemia,30782
today,30671
india,29823
12,29581
come,29556
children,29002
even,28786
salud,28502
des,28438
may,28346
two,28097
11,28081
the,27980
analytics,27843
since,27619
tests,27097
19 covid omicron,26932
last,26827
daily,26629
masks,26061
said,25768
risk,25738
vacunación,25494
