gram,counts
covid,5331049
19,4903301
covid 19,4800806
coronavirus,4651766
covid19,3907494
cases,943595
amp,863920
new,844278
people,806259
trump,748521
pandemic,717381
us,574482
via,562736
deaths,518929
virus,489321
casos,447059
health,443763
get,442971
news,422303
000,413511
one,413335
like,406152
2020,400330
vaccine,375295
realdonaldtrump,372681
positive,340535
time,325593
would,305253
test,303984
world,289284
help,289036
si,285149
need,284105
di,282365
death,271393
day,271169
know,269751
due,261653
please,260017
many,257701
da,250946
back,250932
testing,249580
says,244929
school,243299
go,242710
could,242210
still,240380
see,237326
today,237090
state,232599
first,232155
total,229334
pandemia,225950
die,225553
india,224354
even,224351
going,223199
mask,218483
10,217076
china,215858
government,215629
na,215548
take,212957
corona,211400
usa,211053
good,210670
work,207251
et,206846
lockdown,205508
country,204031
may,203535
tests,202138
spread,198052
il,197356
masks,196930
home,194947
make,192366
care,190442
think,190335
well,190179
crisis,189525
also,188858
the,188721
americans,188091
re,186764
schools,186727
24,185333
year,184626
students,184505
per,184059
read,183960
19 cases,183690
want,183214
covid 19 cases,183075
said,182827
right,178536
children,177122
say,176120
live,175778
