gram,counts
covid,2079688
19,1798573
covid 19,1761789
covid19,1172510
coronavirus,681548
vaccine,349064
new,298162
cases,233628
amp,211631
people,210957
pandemic,163337
variant,161755
get,161663
11,159754
health,158165
2021,153774
die,149616
omicron,144062
vaccinated,139447
19 vaccine,137807
vaccines,137649
covid 19 vaccine,137508
vaccination,129729
deaths,129123
via,127022
virus,116687
us,115955
pfizer,115273
news,114319
casos,113038
di,103805
one,95640
data,91191
et,91029
like,88454
des,84284
world,83580
da,83115
children,82127
10,80753
der,79003
000,78727
il,78641
corona,78228
booster,77925
est,77050
und,76712
time,73031
first,70400
na,68644
today,68222
know,68106
du,67795
year,67368
need,65992
new covid,64839
per,64385
day,63227
test,62192
24,62047
november,61867
12,61466
would,61033
still,60934
dan,60034
many,59910
last,58846
government,58618
covid_19,58235
19 cases,57819
pour,57765
new covid 19,57763
covid 19 cases,57633
2020,57419
das,57391
si,57390
the,57147
pandemia,57024
says,56959
positive,56032
variante,55845
19 pandemic,55687
death,55680
covid 19 pandemic,55606
dose,55450
said,54910
could,53654
please,53105
het,52732
also,52533
non,52227
kids,51983
india,51884
100,51533
risk,50783
due,50628
pas,50536
africa,50397
china,50259
even,50004
