gram,counts
covid,5109353
19,4517250
covid 19,4431008
covid19,3196292
coronavirus,2857772
vaccine,1165342
new,769405
people,751995
amp,672801
cases,581274
pandemic,519578
get,489355
us,467517
via,441439
19 vaccine,441019
2020,440465
covid 19 vaccine,440197
trump,422877
virus,399246
health,389577
deaths,363969
one,358434
first,343240
news,332110
like,327625
pfizer,296887
year,296468
000,295235
uk,262684
vaccines,259352
time,257889
casos,255094
need,244765
da,240863
would,239654
di,239354
die,233144
day,231122
world,229897
know,228767
positive,226062
12,216704
today,210917
vacuna,210321
many,209747
realdonaldtrump,208995
please,207533
et,207479
take,206275
help,206203
see,204608
test,203243
christmas,200469
government,199353
still,196520
care,192669
says,192594
si,190037
10,189079
could,188218
china,186947
na,186698
2021,186449
go,186030
il,185346
home,183477
lockdown,183332
relief,182274
good,180442
even,180438
the,176319
well,175988
state,175973
est,175871
corona,172817
mask,172288
americans,171400
des,170778
work,170494
due,167800
going,165780
death,165285
country,164794
pandemia,164745
said,161183
spread,159160
du,155114
back,153434
per,153306
bill,152624
make,150987
also,148482
right,148097
hospital,146842
think,146042
may,145589
public,145079
dan,144352
read,142387
days,142254
