gram,counts
covid,2711358
19,2381319
covid 19,2334020
covid19,1413044
coronavirus,736695
vaccine,472007
people,321208
cases,308347
amp,301041
new,291392
get,243527
pandemic,217714
vaccinated,210099
health,202472
2021,188102
vaccines,182490
deaths,178938
vaccination,176675
19 vaccine,171571
covid 19 vaccine,171177
us,159078
via,159066
virus,147442
di,144100
one,142494
news,134775
casos,128500
like,126435
die,112077
dan,109451
children,102460
data,98485
today,97889
day,97690
need,96274
pfizer,96017
000,95560
time,94761
da,91721
know,89654
19 cases,88477
covid 19 cases,88194
would,87815
many,87611
world,86781
still,86397
year,85986
10,85374
12,85330
says,85296
hospital,84381
school,83377
na,82123
september,82010
test,81879
death,81665
state,80801
24,79024
et,79010
help,78390
last,77974
government,77354
please,76723
whatshappeninginmyanmar,76196
patients,75383
care,74943
delta,74763
first,74755
india,74712
biden,74640
dose,74178
take,73779
positive,73774
yang,73493
corona,72185
even,72072
vaksinasi,71736
well,71605
per,70528
des,70359
vaksin,70210
18,70143
said,69912
could,69699
the,69564
also,69243
good,69047
19 pandemic,68927
covid 19 pandemic,68804
due,68803
public,68363
unvaccinated,67919
09,67883
died,67241
see,67144
11,66686
total,66533
stop,65814
go,64673
work,64580
