gram,counts
covid,1774465
19,1467925
covid 19,1435615
covid19,947780
coronavirus,422494
amp,167677
cases,164166
vaccine,162822
new,158588
omicron,156673
people,154883
pandemic,138179
2022,132992
get,122833
health,117035
us,112119
deaths,105725
di,100072
casos,94645
via,86589
virus,86109
news,79432
die,70175
data,69991
vaccines,69785
vaccination,69667
19 vaccine,66558
covid 19 vaccine,66365
like,66225
one,64425
positive,63807
world,63206
well,62453
time,61192
test,61129
da,60181
dan,59177
000,58753
24,57814
et,57008
10,55651
02,55328
vaccinated,54004
still,53700
help,53678
need,53235
today,52785
il,52112
restrictions,52080
covid19 covid,51750
day,50742
report,50276
des,49673
many,49535
years,49344
know,49333
detrick,49280
would,48831
fort,48378
soon,47719
per,47540
pandemia,47444
fort detrick,47123
children,46835
mask,46751
tests,46678
19 pandemic,46660
covid 19 pandemic,46593
government,45617
est,45611
truth,44704
11,44670
nuevos,44138
corona,43086
the,42840
na,42467
first,42208
covid omicron,41754
19 cases,41748
last,41703
covid 19 cases,41650
death,41532
please,41461
public,40679
booster,40661
12,40657
china,40636
2020,40578
du,40342
pfizer,39318
si,38993
year,38776
canada,38762
salud,38625
india,38597
come,38494
daily,38454
even,38131
testing,38029
total,37780
