gram,counts
covid,3756840
19,3365278
covid 19,3279238
covid19,2711069
coronavirus,1632022
vaccine,720369
amp,520474
cases,496573
people,454061
india,445109
new,406926
pandemic,358267
health,298965
get,298308
2021,275116
19 vaccine,266842
covid 19 vaccine,266284
via,261706
vaccination,256209
vaccines,253035
us,248118
casos,229931
news,222231
one,220882
virus,217812
da,215812
deaths,197713
please,186378
help,182694
like,175674
april,170960
di,167594
need,166492
corona,165718
world,163623
000,162513
time,159198
day,159014
today,157686
et,156895
pandemia,156254
year,150714
na,150640
vaccinated,149892
government,149725
die,146821
24,145585
lockdown,145302
10,142712
si,140059
may,139767
des,139349
positive,134936
first,134011
vacuna,133651
कर,132377
19 cases,128860
due,128783
covid 19 cases,128463
know,127581
still,127247
take,127179
est,126006
em,125267
hospital,123971
vacunas,121978
il,120922
last,120821
many,120770
state,118757
salud,116556
country,115682
patients,112524
also,111570
would,111198
says,110072
test,109317
2020,107397
per,107245
johnson,107186
04,106714
even,105924
total,105538
pfizer,104686
du,103668
death,102492
home,101515
go,100320
19 pandemic,100263
रह,100125
covid 19 pandemic,100105
astrazeneca,99891
good,99299
oxygen,98835
vacunación,98827
available,98474
public,97776
see,97547
said,97331
work,97047
