gram,counts
covid,5269134
19,4642250
covid 19,4541669
coronavirus,3935416
covid19,3825284
trump,1759269
amp,900771
people,886335
cases,876012
new,764358
realdonaldtrump,633509
pandemic,631844
us,552160
virus,550409
via,521739
positive,496001
get,470969
deaths,454224
like,447691
one,445855
000,434623
health,409378
president,398004
news,382159
2020,368335
test,341435
would,338873
10,337407
di,328493
time,323421
mask,313954
casos,311171
know,285502
says,278623
die,276784
world,276543
day,275209
vaccine,274174
il,271719
et,266919
need,263902
still,263605
many,257242
could,253717
vote,244420
biden,244332
even,243847
lockdown,240706
go,239398
going,236207
house,235474
first,235418
see,234372
americans,233610
today,232117
help,227499
death,224932
si,224297
care,223466
tests,222471
tested,221570
take,219107
white,218867
masks,218766
est,217142
said,214617
per,214605
well,212753
please,212347
spread,211796
da,211771
the,211602
good,210852
government,209827
back,208563
des,205776
due,204307
think,204167
china,203804
days,200968
corona,198808
country,198565
work,193735
donald,192035
re,192034
say,191784
also,189211
testing,187301
state,186255
right,186235
19 cases,184910
covid 19 cases,184253
make,184133
may,183840
white house,183163
year,182581
since,179579
want,179164
let,178016
pandemia,177869
