gram,counts
covid,3822683
19,3451256
covid 19,3386679
covid19,2547653
coronavirus,1661013
vaccine,847297
amp,462034
new,446413
people,421644
cases,416397
pandemic,413121
19 vaccine,332853
covid 19 vaccine,332112
via,291968
get,287623
health,281807
da,266998
vaccines,266028
virus,259387
one,243104
2021,240411
us,234585
year,233659
vaccination,232603
casos,224660
news,221817
deaths,199552
di,197189
et,195828
na,194746
em,191972
first,184954
pandemia,175751
like,172989
000,171541
des,170134
today,167348
astrazeneca,166495
est,165513
march,162930
il,162825
die,156607
lockdown,154793
time,152750
si,148460
day,144603
não,142920
world,139190
mais,137764
com,137436
10,135116
vacuna,133741
need,133384
still,130452
help,130269
state,128539
vaccinated,128220
2020,127416
du,125864
last,125533
would,124651
biden,123799
brasil,123209
know,122069
vacunas,121834
corona,121177
24,120964
says,119972
please,119005
pour,117062
19 pandemic,117059
covid 19 pandemic,116930
government,115285
positive,114720
many,114605
per,114206
total,113712
india,113643
take,113497
test,111352
trump,111248
china,111144
salud,110708
pas,109377
could,108545
home,108234
may,107094
see,106057
19 vaccines,103587
doses,103513
covid 19 vaccines,103322
due,103218
dan,103153
go,102464
said,101769
vacunación,100122
mask,100110
even,100098
19 cases,99926
the,99745
