gram,counts
covid,2990394
19,2460098
covid 19,2408891
covid19,1702039
coronavirus,827890
omicron,413647
cases,361055
new,317786
people,296528
vaccine,290469
amp,282327
get,222508
health,216295
2022,208187
pandemic,206198
casos,193274
us,167403
via,165131
deaths,160719
virus,156288
positive,150330
test,150244
news,145761
one,145203
et,141044
tests,138234
vaccination,133378
like,131431
est,131197
vaccinated,126763
da,125882
des,120787
vaccines,120510
die,115355
000,115290
di,113587
time,113190
il,110490
testing,106853
19 cases,106578
covid 19 cases,106280
day,105815
24,104433
10,104121
19 vaccine,100775
covid 19 vaccine,100458
si,99812
variant,99401
data,97574
need,95035
na,94424
today,93857
know,91739
still,91651
world,91098
would,90781
due,90171
year,90057
booster,88911
many,88711
home,88599
du,87082
per,86071
12,85757
government,84621
well,84194
contagios,84046
pour,82709
pas,82307
free,81837
last,80348
pandemia,79691
india,79663
the,79499
children,78895
please,78658
state,76740
hospital,75872
2021,75857
says,75798
corona,75664
said,75518
even,75367
first,74758
salud,73851
11,71943
january,71761
public,71740
also,71410
em,71290
years,71023
non,70926
could,70871
01,70809
work,70541
pfizer,70109
days,69967
help,69861
go,69164
report,69052
