gram,counts
covid,6566730
coronavirus,6457282
19,6037427
covid 19,5924464
covid19,4679824
cases,1397352
people,1198601
amp,1165576
new,1122881
trump,1090503
pandemic,907987
us,835019
via,744201
virus,727862
get,644215
deaths,640206
one,610520
like,608941
news,602979
health,570758
realdonaldtrump,565840
casos,534640
000,523944
positive,501497
mask,485835
2020,476675
time,469030
world,443406
would,426752
need,414822
day,414247
know,413640
vaccine,401416
masks,393777
death,373386
help,370769
test,367623
back,362603
go,359193
state,354170
going,349042
please,347837
many,346959
says,345770
still,345027
see,339615
could,336199
today,335975
testing,332487
china,322632
due,322135
even,320813
si,319041
good,314718
da,309807
spread,307062
july,306550
take,303717
total,303282
first,301249
na,298527
government,296749
work,293801
home,291978
10,290051
country,288995
crisis,288709
re,286753
florida,283393
think,282693
may,280644
india,280278
di,278261
care,277002
right,276082
data,275817
19 cases,274860
lockdown,274471
covid 19 cases,273969
the,273836
make,273505
well,273268
pandemia,268382
public,265571
corona,265035
coronavirus cases,264935
wear,261434
want,261252
die,260344
said,259553
also,259509
say,257950
patients,254413
tests,252683
states,246924
president,245418
read,244575
live,243836
tested,240104
school,237058
