gram,counts
covid,4711275
19,4126147
covid 19,4035470
covid19,3275127
coronavirus,3059910
cases,818052
people,765899
amp,722007
new,707495
trump,635547
vaccine,601689
pandemic,561812
us,463443
via,407475
get,400653
virus,392741
deaths,384521
one,364013
2020,362611
health,362505
like,349250
news,343041
000,313665
realdonaldtrump,298968
time,281095
day,278143
positive,273804
di,273329
casos,266536
would,262799
et,258099
biden,257685
lockdown,246909
need,246200
11,245745
test,237457
il,233981
mask,233817
please,228041
know,226358
die,225804
many,222403
today,221915
world,221079
help,221049
still,220897
des,212087
go,208796
est,208087
10,207121
see,204973
could,202046
da,201672
good,200221
going,199499
19 cases,196086
state,195737
covid 19 cases,195540
says,194620
19 vaccine,193010
covid 19 vaccine,192555
take,191862
year,191479
si,191375
first,189946
home,189600
per,188213
due,187453
pfizer,186858
work,186664
care,184377
even,183752
president,179192
spread,177561
death,175482
government,174400
corona,174196
the,170696
said,169642
du,168851
back,167835
tests,164761
country,163953
election,163362
well,163296
americans,161419
masks,160604
make,159888
also,159585
right,158097
pour,158091
think,157482
public,157089
na,156169
pandemia,155745
re,155210
testing,154420
million,153923
last,151412
china,150359
