gram,counts
covid,2886501
19,2611745
covid 19,2547110
covid19,1825725
coronavirus,1028329
vaccine,484713
2021,323961
amp,323852
cases,320072
people,316861
new,295994
pandemic,261145
vaccination,235649
di,209065
health,203395
whatshappeninginmyanmar,194651
get,193200
06,192555
casos,182275
vaccines,177497
us,175419
virus,172445
india,169817
via,163441
vaccinated,158197
deaths,154781
da,151307
19 vaccine,151207
covid 19 vaccine,150786
news,149486
one,141630
delta,138325
dan,132065
june,128679
available,124411
18,119717
24,118752
10,113477
000,112182
world,111680
variant,110530
china,110061
need,108716
like,107944
help,105966
day,105339
today,104088
time,103903
lockdown,101494
government,98506
please,97704
pandemia,96957
12,96369
first,95826
yang,94967
19 vaccination,94102
covid 19 vaccination,93898
year,92234
doses,91865
corona,89423
still,88386
06 2021,87471
untuk,87153
na,87081
know,85728
last,85481
19 pandemic,85425
covid 19 pandemic,85318
capacity,85315
2020,85167
em,85148
many,85122
vacunas,83453
total,82354
due,81686
30,81217
pfizer,80867
may,80256
vacuna,80212
si,80146
et,78528
die,78423
state,78118
21,77648
vacunación,77276
says,76658
hospital,76653
19 cases,76605
covid 19 cases,76363
15,76139
dose,75930
would,74863
vaksinasi,74491
positive,74303
data,73967
des,73731
00,72767
age,72362
even,72285
dr,72109
