gram,counts
coronavirus,9844551
covid,7232194
19,6847671
covid 19,6701800
covid19,6129683
people,1440602
amp,1429055
new,1287859
cases,1154304
pandemic,1134664
trump,1117974
via,1110954
us,1031918
deaths,819483
virus,814378
news,799400
lockdown,767457
like,730896
one,701311
may,694572
get,678760
000,649134
health,647391
china,619059
time,602137
2020,589206
world,579697
realdonaldtrump,566601
crisis,545155
casos,540730
di,524063
would,521921
know,505244
death,504236
help,502252
home,500797
need,488957
si,479125
day,466508
could,461342
government,450270
go,445862
da,441173
see,437042
says,424553
today,424102
work,423925
state,419577
many,412868
et,407236
back,399559
please,395944
due,393585
test,392677
still,386745
good,380039
il,379010
corona,378754
positive,378376
total,377664
going,377348
even,374996
na,365481
take,363260
patients,359724
des,357541
country,355673
uk,353412
testing,352514
die,346526
first,344478
vaccine,344252
care,342515
per,342513
pandemia,342373
the,338992
10,338342
read,336918
think,335639
re,333523
live,332516
covid_19,331550
make,328168
social,328017
du,327182
stay,326534
india,324911
response,319787
right,312091
coronavirus pandemic,311059
also,305745
well,305482
want,303758
let,296816
said,293949
support,293695
say,293622
spread,293306
way,291245
est,289744
