gram,counts
covid,5675885
covid19,5657427
19,5417927
covid 19,5281177
nan,2530908
people,1355367
amp,1314792
trump,1201394
via,1151642
pandemic,999485
new,995709
us,993185
cases,878320
virus,791951
news,742140
china,693154
like,689420
one,667273
get,666133
lockdown,632771
deaths,629683
time,604220
crisis,595891
world,592387
health,589645
help,575209
di,528497
home,524941
realdonaldtrump,517194
000,514826
need,514369
si,487048
would,482200
know,465826
et,461860
please,441317
2020,438549
death,424350
il,420058
could,417025
des,414033
see,405301
government,401059
good,386805
may,384980
go,383673
corona,382485
many,379576
says,369917
work,366516
day,365740
du,365327
da,362238
today,360813
stay,358531
state,355184
patients,354186
due,351215
even,351133
casos,350289
die,345767
est,343975
still,343421
going,342188
test,338225
take,338120
per,336073
first,335962
testing,334781
support,334397
country,329936
covid_19,328016
care,326917
make,326817
na,326196
back,315642
the,314453
think,313442
right,310078
pour,309110
fight,304170
positive,304128
coronavirus pandemic,303387
total,303093
uk,302152
spread,301595
social,301224
response,299595
well,297482
live,296167
10,296158
workers,296108
let,294964
re,292606
also,292248
hospital,290690
said,290565
president,287770
say,280138
coronavirus covid19,278256
