gram,counts
covid,3469117
19,3106074
covid 19,3049933
covid19,2186779
coronavirus,1615109
vaccine,699638
amp,428474
new,424655
people,382551
cases,354142
pandemic,348278
19 vaccine,268848
covid 19 vaccine,268285
via,268031
health,256716
virus,249302
get,242350
vaccines,237101
us,228485
2021,219376
deaths,210544
one,200707
news,199969
casos,192719
di,183015
000,180670
vaccination,172381
da,170109
like,162611
first,156911
et,154435
dan,153916
vacuna,146568
die,141642
year,141107
time,137999
des,137792
need,137518
help,136995
world,136230
si,134047
today,133411
vacunas,131609
pandemia,131106
lockdown,125896
10,125610
est,123690
il,122954
would,120633
china,117964
still,117702
please,116193
2020,116088
uk,115914
know,115812
biden,115651
day,113380
government,112132
says,110948
many,108387
du,107846
salud,107771
test,106731
corona,106189
state,105917
na,105526
could,105469
per,103724
last,102286
trump,102083
19 pandemic,101185
covid 19 pandemic,101047
em,99603
total,98370
due,97775
work,96754
see,96365
home,96320
even,95965
data,95735
good,94756
vacunación,94077
pour,93436
24,92423
take,92275
go,91905
said,90994
doses,90632
variant,90468
week,89665
the,88985
million,88820
india,88799
may,88468
19 vaccines,88335
covid 19 vaccines,88193
back,87957
public,87584
dr,87022
country,86806
