gram,counts
covid,4663112
19,4243282
covid 19,4144741
coronavirus,3733480
covid19,3260215
trump,837623
amp,789743
cases,785688
people,764378
new,704078
pandemic,594081
us,485552
deaths,467106
via,456168
virus,426656
000,415830
health,378590
vaccine,376659
get,372556
2020,371005
realdonaldtrump,368597
one,358755
news,357607
like,342799
casos,340010
time,280831
would,279416
test,272016
positive,259767
di,257638
world,255809
know,249813
need,242982
day,236793
help,236101
death,232843
says,229556
many,224427
could,220189
still,219629
today,215479
government,211631
due,208476
china,207373
et,207159
testing,203515
go,202233
americans,200457
back,199397
10,198826
si,197499
see,194344
even,193998
please,193246
die,190670
total,188867
take,185992
india,183360
corona,181193
pandemia,180965
lockdown,180094
going,179588
dan,179127
mask,179059
tests,178398
first,176406
said,174953
da,174526
good,172828
state,171474
spread,170042
work,169676
year,168821
care,168665
public,168662
des,167151
read,166315
president,166303
uk,165407
the,164908
school,164845
may,163583
country,162636
il,161035
masks,160867
also,160292
think,160111
re,159710
make,159329
well,158902
24,155863
cdc,155677
died,154497
want,153454
19 cases,152403
per,151811
covid 19 cases,151741
est,151420
right,150691
na,150303
