gram,counts
covid19,1124549
covid,1048264
19,1012513
covid 19,981802
nan,772603
people,332620
amp,265044
via,254330
trump,249997
us,231802
cases,208150
new,205881
virus,198971
pandemic,188325
china,167703
get,167084
like,164337
news,156360
one,153851
help,146386
time,146367
home,145605
need,133370
crisis,132025
world,131872
please,130313
si,129453
health,123940
stay,122246
realdonaldtrump,119891
000,119193
di,117349
lockdown,112966
know,107302
would,106598
corona,104609
et,103265
il,99610
good,98889
positive,95868
go,94744
na,93288
deaths,92740
test,90618
see,90616
da,89375
des,89079
could,88148
day,87882
going,87634
government,87513
due,85303
take,84806
work,84520
2020,84513
est,83894
spread,82554
still,81754
many,81737
die,81315
first,80665
the,80418
du,80310
even,79342
country,78598
says,77690
casos,77515
covid_19,77304
today,76025
right,75470
think,74856
social,74318
make,74260
fight,74007
let,73747
hospital,73715
outbreak,73670
death,73278
president,73066
may,72678
per,71657
well,71413
state,71330
support,71178
re,70881
pour,69234
stop,69009
care,66495
back,65558
patients,64491
coronavirus covid19,64447
coronavirus pandemic,64284
workers,63758
really,63706
also,63412
live,63266
response,63060
great,62442
want,61718
medical,61614
