gram,counts
covid,427973
19,363939
covid 19,356046
covid19,226154
coronavirus,101412
vaccine,54276
pandemic,49961
amp,43127
people,42201
new,41556
health,34644
2022,31785
cases,31683
get,28907
vaccines,25801
19 pandemic,22131
covid 19 pandemic,22100
virus,21273
deaths,21191
us,20752
booster,20614
casos,20305
news,19002
die,18631
vaccination,18370
di,17940
via,17904
19 vaccine,17624
covid 19 vaccine,17571
one,17428
like,17183
china,16470
et,15778
da,15502
time,15225
still,15039
world,14087
2020,14083
biden,13941
omicron,13835
pandemia,13814
september,13714
000,13591
years,13519
data,13481
10,13281
des,12976
24,12605
pfizer,12549
know,12367
today,12327
without,12306
study,12139
many,11767
long,11546
say,11536
public,11533
first,11385
need,11363
government,11335
would,11293
children,11105
11,11061
risk,11003
taking,10996
year,10948
work,10931
patients,10902
est,10843
il,10736
trump,10709
day,10696
since,10660
und,10549
global,10545
said,10531
last,10528
test,10491
india,10447
du,10445
19 vaccines,10443
the,10424
covid 19 vaccines,10407
per,10312
please,10211
also,10145
salud,10017
na,9981
09,9974
help,9914
could,9851
corona,9817
due,9766
million,9692
may,9687
flu,9655
even,9624
mask,9623
cdc,9520
boosters,9488
