gram,counts
covid,2176888
19,1909976
covid 19,1868758
covid19,1133028
coronavirus,608395
vaccine,398566
amp,244420
cases,242201
new,236568
people,234804
pandemic,179067
get,168507
health,164431
2021,164220
deaths,163901
19 vaccine,163008
covid 19 vaccine,162657
vaccinated,159195
10,154156
vaccines,146736
vaccination,146570
us,129484
via,121410
news,112135
casos,111214
virus,104975
one,104291
di,100927
die,97136
data,91499
like,89977
pfizer,87804
000,87747
children,82584
da,79935
world,74949
today,74737
11,74702
time,74284
dan,73586
need,73078
state,71992
year,69784
death,68930
day,68600
still,68078
know,68047
would,67731
government,66994
12,65186
many,64639
says,64399
19 cases,64085
24,64078
covid 19 cases,63875
india,63543
first,63109
per,62975
19 pandemic,62955
covid 19 pandemic,62810
et,61885
test,61810
dose,59954
booster,59673
pandemia,59425
covid_19,59411
corona,58979
last,57853
18,57625
2020,57404
uk,57210
public,55907
even,55742
na,55280
positive,54915
100,54857
des,54544
please,54331
total,54297
also,53932
said,53794
could,53555
take,53310
due,53287
fully,53121
the,52941
help,52567
vacunación,52222
19 vaccines,52216
october,52115
covid 19 vaccines,52037
il,51795
china,51699
since,51614
care,51461
risk,51307
see,51123
nuevos,50623
work,50603
doses,50541
