gram,counts
covid,4696110
19,4180784
covid 19,4099522
covid19,3152368
coronavirus,2406805
vaccine,902499
new,614406
people,588031
amp,561219
cases,498269
pandemic,438983
via,373882
get,354019
virus,343791
health,342349
19 vaccine,337555
2021,337052
covid 19 vaccine,336894
deaths,334630
us,333354
one,295092
casos,283309
vaccines,281949
000,277624
news,272600
da,261636
like,253547
et,247907
vaccination,244651
trump,241089
di,235496
first,231859
uk,230368
lockdown,224079
est,217153
si,214223
year,212788
2020,211906
time,209913
des,209781
die,205625
need,195090
world,193777
day,192488
il,191043
today,189024
china,188802
biden,186458
test,185389
government,185136
pandemia,184451
would,182097
positive,181184
know,176662
still,176307
help,176289
please,174295
du,173348
10,171773
na,170678
vacuna,169557
many,164207
state,159590
pour,158853
says,154910
home,153289
could,152861
due,151079
see,150028
pas,146409
em,146381
go,146060
india,144302
good,143418
even,143004
take,141886
per,140952
hospital,139968
salud,138866
last,138708
dan,138128
work,137925
total,137852
death,137733
the,136194
variant,136185
care,135150
corona,133756
said,132864
24,132509
well,131378
pfizer,129941
going,129681
country,129620
spread,129358
vacunas,129345
may,128927
back,127509
days,127276
100,126813
