before,coe
21-10,-0.43409545031345476
21-11,-0.44595078352407436
21-12,-0.4792338704596939
22-01,-0.3253837660692104
22-02,-0.37186680136571504
22-03,-0.40787623222269453
22-04,-0.4114547194794484
22-05,-0.3967704406797893
22-06,-0.38129791249844314
22-07,-0.3934910195411722
22-08,-0.39244879336039307
22-09,-0.3728562626096775
22-10,-0.35651731434161116
22-11,-0.3360011966489754
